Component,% w/w,Functional Role
Purified Water,92.50,Primary solvent and carrier
Sucrose / Sweetener Blend,4.50,Energy source; taste balance
Caffeine,0.03,Primary stimulant; alertness and focus
Taurine,0.40,Neuromodulation; fatigue reduction
L-Carnitine,0.20,Supports energy metabolism and endurance
Niacinamide (Vitamin B3),0.02,"Cellular energy metabolism (NAD⁺ support)"
Panthenol (Pro-vitamin B5),0.01,"Coenzyme A synthesis; metabolic support"
Citric Acid,0.15,pH adjustment; flavor enhancement
Sodium Citrate,0.05,Buffering agent; flavor balance
Natural Flavor System,0.30,Flavor profile and consumer appeal
"Preservative System (e.g., Potassium Sorbate)",0.04,Microbial stability
"Color (if applicable)",0.01,Visual consistency
